Jahrgang,Geschlecht,Alter,qx
1952,Frau,88,0.070214
1952,Frau,89,0.081349
1952,Frau,90,0.093789
1952,Frau,91,0.107517
1952,Frau,92,0.12251
1952,Frau,93,0.138748
1952,Frau,94,0.156235
1952,Frau,95,0.175007
1952,Frau,96,0.195112
1952,Frau,97,0.216575
1952,Frau,98,0.239472
1952,Frau,99,0.264021
1952,Frau,100,0.290193
1952,Frau,101,0.317936
1952,Frau,102,0.347432
1952,Frau,103,0.378987
1952,Frau,104,0.41284
1952,Frau,105,0.447906
1952,Frau,106,0.483659
1952,Frau,107,0.523391
1952,Frau,108,0.564851
1952,Frau,109,0.607759
1952,Frau,110,0.65186
1952,Frau,111,0.696764
1952,Frau,112,0.741916
1952,Frau,113,0.786578
1952,Frau,114,0.829817
1952,Frau,115,0.870529
1952,Frau,116,0.907506
1952,Frau,117,0.939554
1952,Frau,118,0.965685
1952,Frau,119,0.985397
1952,Frau,120,1.0
1952,Mann,0,0.032186
1952,Mann,1,0.002364
1952,Mann,2,0.001935
1952,Mann,3,0.001179
1952,Mann,4,0.000921
1952,Mann,5,0.000926
1952,Mann,6,0.000618
1952,Mann,7,0.00069
1952,Mann,8,0.00038
1952,Mann,9,0.000624
1952,Mann,10,0.000538
1952,Mann,11,0.000505
1952,Mann,12,0.000371
1952,Mann,13,0.000414
1952,Mann,14,0.00052
1952,Mann,15,0.000709
1952,Mann,16,0.000597
1952,Mann,17,0.000935
1952,Mann,18,0.001685
1952,Mann,19,0.001739
1952,Mann,20,0.00174
1952,Mann,21,0.001812
1952,Mann,22,0.001733
1952,Mann,23,0.001478
1952,Mann,24,0.001439
1952,Mann,25,0.001635
1952,Mann,26,0.001431
1952,Mann,27,0.001227
1952,Mann,28,0.001344
1952,Mann,29,0.001129
1952,Mann,30,0.001113
1952,Mann,31,0.00106
1952,Mann,32,0.001134
1952,Mann,33,0.001081
1952,Mann,34,0.001213
1952,Mann,35,0.001264
1952,Mann,36,0.00159
1952,Mann,37,0.001477
1952,Mann,38,0.00119
1952,Mann,39,0.001514
1952,Mann,40,0.002367
1952,Mann,41,0.002037
1952,Mann,42,0.001981
1952,Mann,43,0.00187
1952,Mann,44,0.002564
1952,Mann,45,0.002146
1952,Mann,46,0.002233
1952,Mann,47,0.002934
1952,Mann,48,0.002886
1952,Mann,49,0.003316
1952,Mann,50,0.003326
1952,Mann,51,0.00328
1952,Mann,52,0.004061
1952,Mann,53,0.003942
1952,Mann,54,0.004372
1952,Mann,55,0.004868
1952,Mann,56,0.0054
1952,Mann,57,0.004745
1952,Mann,58,0.005372
1952,Mann,59,0.005967
1952,Mann,60,0.006995
1952,Mann,61,0.007497
1952,Mann,62,0.008283
1952,Mann,63,0.00787
1952,Mann,64,0.009544
1952,Mann,65,0.009422
1952,Mann,66,0.010858
1952,Mann,67,0.011795
