"BFS Nr.";"Gemeinde";"1. Gesamtsteuerfuss ohne Kirche (in Prozent)";"2. Gesamtsteuerfuss ohne Kirche (in Prozent)";"3. Gesamtsteuerfuss ohne Kirche (in Prozent)";"Abweichung Vorjahr ohne Kirche (Prozentpunkte)";"1. Gesamtsteuerfuss mit ref. Kirche (in Prozent)";"2. Gesamtsteuerfuss mit ref. Kirche (in Prozent)";"3. Gesamtsteuerfuss mit ref. Kirche (in Prozent)";"Abweichung Vorjahr mit ref. Kirche (Prozentpunkte)";"1. Gesamtsteuerfuss mit kath. Kirche (in Prozent)";"2. Gesamtsteuerfuss mit kath. Kirche (in Prozent)";"3. Gesamtsteuerfuss mit kath. Kirche (in Prozent)";"Abweichung Vorjahr mit kath. Kirche (Prozentpunkte)";"1. Gesamtsteuerfuss mit christkath. Kirche (in Prozent)";"2. Gesamtsteuerfuss mit christkath. Kirche (in Prozent)";"3. Gesamtsteuerfuss mit christkath. Kirche (in Prozent)";"Abweichung Vorjahr mit christkath. Kirche (Prozentpunkte)";"Juristischer Steuerfuss";"Definitiv"
"220";"Hagenbuch";"121";"";"";"-2";"135";"";"";"-2";"135";"";"";"-2";"135";"";"";"-2";"135";"1"
"4";"Hausen a.A.";"112";"";"";"0";"126";"";"";"2";"126";"";"";"0";"126";"";"";"0";"126";"1"
"5";"Hedingen";"100";"";"";"0";"114";"";"";"2";"113";"";"";"0";"114";"";"";"0";"113.6";"1"
"31";"Henggart";"111";"";"";"8";"125";"";"";"8";"124";"";"";"8";"125";"";"";"8";"124.73";"1"
"152";"Herrliberg";"73";"";"";"-2";"82";"";"";"-2";"81";"";"";"-2";"87";"";"";"-2";"81.57";"1"
"221";"Hettlingen";"97";"";"";"0";"110";"";"";"0";"109";"";"";"-1";"111";"";"";"0";"109.5";"1"
"117";"Hinwil";"116";"";"";"-3";"128";"";"";"-3";"132";"";"";"-3";"130";"";"";"-3";"129.6";"1"
"173";"Hittnau";"113";"";"";"0";"126";"";"";"-1";"124";"";"";"0";"127";"";"";"0";"125.4";"1"
"59";"Hochfelden";"116";"";"";"0";"126";"";"";"0";"127";"";"";"0";"130";"";"";"0";"126.4";"1"
"153";"Hombrechtikon";"113";"";"";"0";"124";"";"";"0";"126";"";"";"0";"127";"";"";"0";"124.92";"1"
"295";"Horgen";"90";"";"";"0";"100";"";"";"0";"98";"";"";"1";"104";"";"";"0";"98.98";"1"
"60";"Höri";"110";"";"";"0";"120";"";"";"0";"121";"";"";"0";"124";"";"";"0";"120.56";"1"
"61";"Hüntwangen";"108";"";"";"0";"122";"";"";"0";"121";"";"";"0";"122";"";"";"0";"121.69";"1"
"87";"Hüttikon";"113";"";"";"0";"126";"";"";"0";"123";"";"";"0";"127";"";"";"0";"124.47";"1"
"296";"Illnau-Effretikon";"113";"";"";"0";"126";"";"";"0";"126";"";"";"0";"127";"";"";"0";"126";"1"
"6";"Kappel a.A.";"102";"";"";"0";"116";"";"";"0";"116";"";"";"0";"116";"";"";"0";"116";"1"
"135";"Kilchberg";"72";"";"";"0";"80";"";"";"0";"78";"";"";"0";"86";"";"";"0";"79.06";"1"
"33";"Kleinandelfingen";"118";"";"";"2";"130";"";"";"2";"132";"";"";"2";"132";"";"";"2";"130.54";"1"
"62";"Kloten";"100";"";"";"0";"109";"";"";"0";"109";"";"";"0";"114";"";"";"0";"109";"1"
"7";"Knonau";"116";"";"";"0";"130";"";"";"0";"130";"";"";"0";"130";"";"";"0";"130";"1"
"154";"Küsnacht";"73";"";"";"0";"80";"";"";"0";"80";"";"";"0";"87";"";"";"0";"80";"1"
